url_id,title,ad_title,subtitle,description,price,model_year,km,seats,vehicle_model,length_variant,trim_family,fuel,drive,battery_kwh,range_wltp_km,effect_hp,max_tow_kg,body_type,vehicle_class,has_towbar,has_panorama,has_hud,has_leather,has_camera,has_nav,is_camper,owners,first_registered,warranty_text,warranty_months,warranty_km,color,place,postal_code,county,latitude,longitude,seller_name,updated_at_text,model_sample,relevant,is_electric,parse_source_core,parse_source_flags,raw_html_file,url,search_query,search_page,search_position,brand,model,search_price,page_title,total_price_text,price_ex_reg_text,reg_fee_text,effect_text,km_text,battery_text,range_text,transmission,tow_weight_text,weight_text,doors,luggage_text,country,eu_deadline,registration_number,sales_form,weight_kg,luggage_l,total_price,price_ex_reg,battery_kwh_detected,range_wltp_km_detected,finn_county_code,finn_municipality_code,model_clean,length_for_msrp,trim_for_msrp,base_new_price,msrp_variant,source_id,seat_option_price,common_option_price,estimated_new_price,depreciation,depreciation_pct,msrp_assumption,source_url,source_note,ad_age_years,log_km,battery_kwh_model,battery_75,.fitted,.resid,.hat,.sigma,.cooksd,.std.resid,predicted_depreciation,predicted_price,depreciation_residual,price_residual,depreciation_residual_pct,student_residual,cooks_d,leverage,underpriced_rank
461006616,Opel Zafira,Opel Zafira,"El- L3 75kWh 136hk 8-seter, landets billigste, eu ok","El- L3 75kWh 136hk 8-seter, landets billigste, eu ok",299900,2023,153444,8,Opel Zafira-e Life,XL/L3,high,El,Forhjulsdrift,75,311,136,1000,Flerbruksbil,Personbil,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,27.09.2023,Bruktbilgaranti,3,3000,Grå,Inderøy,7670,Trøndelag/Nordland,63.86839543574856,11.297664133278946,Jætåsen Bil AS,"23. april 2026, 11:19 Del annonsen Rapporter annonse",TRUE,FALSE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_461006616.html,https://www.finn.no/mobility/item/461006616,Opel Zafira e-Life,1,4,Opel,Zafira,299900,Bruktbil til salgs: Opel Zafira - 2023 - Grå - 136 hk - Flerbruksbil | FINN.no,NA,NA,Ikke oppgitt (avgifter),136 hk,153 444 km,75 kWh,NA,Automat,1 000 kg,2 092 kg,5,980 L,Norge,09.07.2026,XD91171,Bruktbil til salgs,2092,980,NA,NA,75,444,20016,20354,Zafira,XL/L3,high,749900,GS L3 75 kWh,opel_2026_pdf,0,0,749900,450000,0.600080010668089,GS L3 75 kWh; seter +0 kr; øvrige opsjoner +0 kr,https://www.opel.no/content/dam/opel/norway/downloads/pricelists/personbil/Prisliste_Zafira_Electric_2026.pdf,"Offisiell norsk prisliste-URL funnet, men direkte nedlasting ble blokkert i dette miljøet. Prisnivået er lagt inn som samme 2026 Stellantis-prisstige som Citroen, og bør verifiseres mot Opel-konfigurator/prisliste.",3,11.941097475613464,75,TRUE,287049.87840277905,162950.12159722095,0.19582665178153905,54794.484342504635,0.2732848667845768,2.802823500512571,287049.87840277905,462850.12159722095,162950.12159722095,-162950.12159722095,0.21729580156983724,3.3162175000356378,0.2732848667845768,0.19582665178153905,1
456933969,Toyota Proace Verso,Toyota Proace Verso,Electric Cruise/Navi/Kamera/Dab+,Electric Cruise/Navi/Kamera/Dab+,409000,2024,2100,5,Toyota Proace Verso Electric,Ukjent,high,El,Forhjulsdrift,NA,100,136,1000,NA,Personbil,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,22.02.2024,Nybilgaranti fra 1. gang reg.,60,100000,Svart,Fredrikstad,NA,Ukjent,59.240033,10.982871,Dahles Auto Råbekken,"23. mars 2026, 09:00 Referanse 2962 Del annonsen Rapporter annonse",TRUE,FALSE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_456933969.html,https://www.finn.no/mobility/item/456933969,Toyota Proace Verso Electric,1,3,Toyota,Proace Verso,409000,Bruktbil til salgs: Toyota Proace Verso - 2024 - Svart - 136 hk | FINN.no,NA,NA,Fritatt (avgifter),136 hk,2 100 km,NA,NA,Automat,1 000 kg,2 092 kg,5,NA,Norge,NA,EP67017,Bruktbil til salgs,2092,NA,NA,NA,NA,100,20002,20024,Proace Verso,M/L2,high,698400,Family Plus,toyota_config_2026,0,0,698400,289400,0.4143757159221077,Family Plus; seter +0 kr; øvrige opsjoner +0 kr,https://www.toyota.no/nybil/proace-verso/build,Toyota-konfigurator lest 2026-05-14. Shuttle Nordic V2 og Family Plus.,2,7.650168700845001,75,TRUE,141317.2375200959,148082.7624799041,0.14420870601818067,57537.477877406964,0.14675689861009153,2.469087465326417,141317.2375200959,557082.7624799041,148082.7624799041,-148082.7624799041,0.21203144684980543,2.7820808996845123,0.14675689861009153,0.14420870601818067,2
380539848,Toyota Proace Verso,Toyota Proace Verso,Electric Lang Executive Family,Electric Lang Executive Family,319129,2021,134000,8,Toyota Proace Verso Electric,XL/L3,high,El,Forhjulsdrift,75,0,136,1000,Flerbruksbil,Personbil,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1,26.09.2021,Nybilgaranti,NA,200000,Hvit,Godvik,5179,Rogaland/Vestland,60.37806042296774,5.1985329551003785,Taxi 1 AS,"12. mars 2026, 10:51 Del annonsen Rapporter annonse",TRUE,FALSE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_380539848.html,https://www.finn.no/mobility/item/380539848,Toyota Proace Verso Electric,1,2,Toyota,Proace Verso,319129,Bruktbil til salgs: Toyota Proace Verso - 2021 - Hvit - 136 hk - Flerbruksbil | FINN.no,NA,312 000 kr,7 129 kr (avgifter),136 hk,134 000 km,75 kWh,NA,Automat,1 000 kg,2 092 kg,5,989 L,Norge,26.05.2026,ED17577,Bruktbil til salgs,2092,989,NA,312000,75,0,22046,20220,Proace Verso,XL/L3,high,698400,Family Plus,toyota_config_2026,0,0,698400,379271,0.5430569873997709,Family Plus; seter +0 kr; øvrige opsjoner +0 kr,https://www.toyota.no/nybil/proace-verso/build,Toyota-konfigurator lest 2026-05-14. Shuttle Nordic V2 og Family Plus.,5,11.80560254159177,75,TRUE,304930.0032097418,74340.99679025821,0.2695034193394059,63741.5404924005,0.09486771127371874,1.3416374899524204,304930.0032097418,393469.9967902582,74340.99679025821,-74340.99679025821,0.10644472621743731,1.364572865401277,0.09486771127371874,0.2695034193394059,3
455979534,Peugeot e-Traveller,Peugeot e-Traveller,L3 75 kWt Lane Assist/Fjernlysassistent/R.kamera,L3 75 kWt Lane Assist/Fjernlysassistent/R.kamera,389000,2022,54500,9,Peugeot e-Traveller,XL/L3,high,El,Forhjulsdrift,68,314,136,1000,Kasse,Personbil,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,25.11.2022,Bruktbilgaranti,12,12000,Grå,Askim,NA,Ukjent,59.576943,11.211077,Andresen Bil Askim,"28. april 2026, 11:56 Referanse 5aa69ea7-71d3-43b1-a578-539819a6a3f6 Del annonsen Rapporter annonse",TRUE,FALSE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_455979534.html,https://www.finn.no/mobility/item/455979534,Peugeot e-Traveller,1,11,Peugeot,e-Traveller,389000,Bruktbil til salgs: Peugeot e-Traveller - 2022 - Grå - 136 hk - Kasse | FINN.no,NA,384 468 kr,4 532 kr (avgifter),136 hk,54 500 km,68 kWh,NA,Automat,1 000 kg,2 086 kg,6,2 381 L,Norge,NA,EE80741,Bruktbil til salgs,2086,2381,NA,384468,75,500,20002,22103,e-Traveller,XL/L3,high,718600,Business L3 + common high-spec options,peugeot_2026_pdf,4900,14875,738375,349375,0.47316742847469107,Business L3 + common high-spec options; seter +4900 kr; øvrige opsjoner +14875 kr,https://www.peugeot.no/content/dam/peugeot/norway/prislister-og-brosjyrer/personbiler/Kundeprisliste_E-Traveller_2026.pdf,Kundeprisliste gjeldende fra 01.01.2026. Business L2/L3.,4,10.905974329106854,68,FALSE,287006.73277705477,62368.26722294523,0.16760480542322714,64680.016976785984,0.03198073584813902,1.0544228170587184,287006.73277705477,451368.26722294523,62368.26722294523,-62368.26722294523,0.08446692699907937,1.056887522780595,0.03198073584813902,0.16760480542322714,4
458788597,Peugeot e-Traveller,Peugeot e-Traveller,L2 Allure 75kWt,L2 Allure 75kWt,339532,2021,135000,8,Peugeot e-Traveller,M/L2,high,El,Forhjulsdrift,75,330,136,1000,Flerbruksbil,Personbil,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,2,24.02.2021,NA,NA,NA,Grå,Sandstad,7246,Trøndelag/Nordland,63.48420020046555,8.84470505183124,NA,"5. mai 2026, 22:56 Del annonsen Rapporter annonse",TRUE,FALSE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_458788597.html,https://www.finn.no/mobility/item/458788597,Peugeot e-Traveller,1,5,Peugeot,e-Traveller,339532,Bruktbil til salgs: Peugeot e-Traveller - 2021 - Grå - 136 hk - Flerbruksbil | FINN.no,NA,335 000 kr,4 532 kr (avgifter),136 hk,135 000 km,75 kWh,NA,Automat,1 000 kg,2 065 kg,5,603 L,Norge,24.02.2027,EC32142,Bruktbil til salgs,2065,603,NA,335000,75,0,20016,20321,e-Traveller,M/L2,high,683600,Business L2 + common high-spec options,peugeot_2026_pdf,0,14875,698475,358943,0.5138952718422277,Business L2 + common high-spec options; seter +0 kr; øvrige opsjoner +14875 kr,https://www.peugeot.no/content/dam/peugeot/norway/prislister-og-brosjyrer/personbiler/Kundeprisliste_E-Traveller_2026.pdf,Kundeprisliste gjeldende fra 01.01.2026. Business L2/L3.,5,11.813037464800539,75,TRUE,326122.3684999014,32820.63150009862,0.1043853083851458,65788.29348974845,0.004764579576386769,0.5349364948261787,326122.3684999014,372352.6315000986,32820.63150009862,-32820.63150009862,0.04698898528952163,0.52715424401249,0.004764579576386769,0.1043853083851458,5
451015720,Citroen SpaceTourer,Citroen SpaceTourer,NA,NA,195000,2020,35000,9,Citroen ë-SpaceTourer,Ukjent,base,El,Forhjulsdrift,50,211,136,1000,Kasse,Personbil,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,17.07.2020,NA,NA,NA,Sølv,Ski,1425,Akershus,59.71969589593153,10.835604896452368,NA,"30. april 2026, 23:58 Del annonsen Rapporter annonse",TRUE,TRUE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_451015720.html,https://www.finn.no/mobility/item/451015720,50kWh SpaceTourer,1,1,Citroen,SpaceTourer,195000,Bruktbil til salgs: Citroen SpaceTourer - 2020 - Sølv - 136 hk - Kasse | FINN.no,NA,190 468 kr,4 532 kr (avgifter),136 hk,35 000 km,NA,NA,Automat,1 000 kg,2 183 kg,5,NA,Norge,05.02.2028,ED97238,Bruktbil til salgs,2183,NA,NA,190468,50,0,20003,22104,SpaceTourer,M/L2,base,639900,PLUS L2 75 kWh,citroen_2026_pdf,0,0,639900,444900,0.6952648851383029,PLUS L2 75 kWh; seter +0 kr; øvrige opsjoner +0 kr,https://www.citroen.no/content/dam/citroen/norway/prislister-og-brosjyrer/personbiler/Kundeprisliste_e-Spacetourer_2026.pdf,Kundeprisliste gjeldende fra 01.01.2026. PLUS/MAX L2/L3.,6,10.463131911491967,50,FALSE,412438.18285023794,32461.817149762064,0.4851174946712614,65520.51539698514,0.06554054948274772,0.6978059343561605,412438.18285023794,227461.81714976206,32461.817149762064,-32461.817149762064,0.05072951578334437,0.6904646588734351,0.06554054948274772,0.4851174946712614,6
459723398,Peugeot e-Traveller,Peugeot e-Traveller,8 Seter / 330km / Skinn / Pano / ACC / HUD / Massasje +,8 Seter / 330km / Skinn / Pano / ACC / HUD / Massasje +,329900,2021,105000,8,Peugeot e-Traveller,Ukjent,high,El,Forhjulsdrift,75,330,136,1000,Flerbruksbil,Personbil,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,18.10.2021,garanti etter avtale (se annonsetekst - fra/maks),6,300000,Grå,Jessheim,2050,Akershus,60.13836310969308,11.166250045170658,Car4Sale AS,"12. mai 2026, 12:24 Referanse 13585 Del annonsen Rapporter annonse",TRUE,FALSE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_459723398.html,https://www.finn.no/mobility/item/459723398,Peugeot e-Traveller,1,3,Peugeot,e-Traveller,329900,Bruktbil til salgs: Peugeot e-Traveller - 2021 - Grå - 136 hk - Flerbruksbil | FINN.no,NA,325 368 kr,4 532 kr (avgifter),136 hk,105 000 km,75 kWh,NA,Automat,1 000 kg,2 327 kg,5,NA,Norge,NA,NA,Bruktbil til salgs,2327,NA,NA,325368,75,330,20003,20056,e-Traveller,M/L2,high,683600,Business L2 + common high-spec options,peugeot_2026_pdf,0,0,683600,353700,0.517407840842598,Business L2 + common high-spec options; seter +0 kr; øvrige opsjoner +0 kr,https://www.peugeot.no/content/dam/peugeot/norway/prislister-og-brosjyrer/personbiler/Kundeprisliste_E-Traveller_2026.pdf,Kundeprisliste gjeldende fra 01.01.2026. Business L2/L3.,5,11.561725152903833,75,TRUE,322151.81318183,31548.186818170012,0.11386763931958994,65813.4832148621,0.004905527215647743,0.5169410310095803,322151.81318183,361448.18681817,31548.186818170012,-31548.186818170012,0.04615006848766824,0.5092256002831078,0.004905527215647743,0.11386763931958994,7
433519464,Opel Zafira,Opel Zafira,Life 9-Seter 50KWh 212km / Cruise / CarPlay / S+V / DAB,Life 9-Seter 50KWh 212km / Cruise / CarPlay / S+V / DAB,239000,2021,99000,9,Opel Zafira-e Life,Ukjent,high,El,Forhjulsdrift,50,212,136,1000,Flerbruksbil,Personbil,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,26.11.2020,garanti etter avtale (se annonsetekst - fra/maks),6,300000,Hvit,Hamar,2315,Innlandet,60.80598650981171,11.050175638517086,Car4Sale AS,"11. mars 2026, 16:43 Referanse 11931 Del annonsen Rapporter annonse",TRUE,FALSE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_433519464.html,https://www.finn.no/mobility/item/433519464,Opel Zafira e-Life,1,1,Opel,Zafira,239000,Bruktbil til salgs: Opel Zafira - 2021 - Hvit - 136 hk - Flerbruksbil | FINN.no,NA,234 468 kr,4 532 kr (avgifter),136 hk,99 000 km,50 kWh,NA,Automat,1 000 kg,2 194 kg,5,NA,Norge,NA,NA,Bruktbil til salgs,2194,NA,NA,234468,50,212,22034,20063,Zafira,M/L2,high,719900,GS L2 75 kWh,opel_2026_pdf,0,0,719900,480900,0.668009445756355,GS L2 75 kWh; seter +0 kr; øvrige opsjoner +0 kr,https://www.opel.no/content/dam/opel/norway/downloads/pricelists/personbil/Prisliste_Zafira_Electric_2026.pdf,"Offisiell norsk prisliste-URL funnet, men direkte nedlasting ble blokkert i dette miljøet. Prisnivået er lagt inn som samme 2026 Stellantis-prisstige som Citroen, og bør verifiseres mot Opel-konfigurator/prisliste.",5,11.502885230075814,50,FALSE,453878.6028679775,27021.39713202248,0.16626188810817727,65891.757909483393,0.005935847820017526,0.45646646008754804,453878.6028679775,266021.3971320225,27021.39713202248,-27021.39713202248,0.03753493142384009,0.44911946603797204,0.005935847820017526,0.16626188810817727,8
460885571,Citroen SpaceTourer,Citroen SpaceTourer,75kWt 6 seter MOMSFRADRAG VED LEASING/PÅSKEKAMPANJE,75kWt 6 seter MOMSFRADRAG VED LEASING/PÅSKEKAMPANJE,379900,2024,5,6,Citroen ë-SpaceTourer,Ukjent,high,El,Forhjulsdrift,75,350,136,1000,Flerbruksbil,Personbil,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,24.06.2024,Nybilgaranti,38,120000,Hvit,Rud,NA,Akershus,59.909499,10.49477,Birger N. Haug AS avd. Rud,"22. april 2026, 10:39 Referanse P277925 Del annonsen Rapporter annonse",TRUE,TRUE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_460885571.html,https://www.finn.no/mobility/item/460885571,75kWt SpaceTourer,1,4,Citroen,SpaceTourer,379900,Bruktbil til salgs: Citroen SpaceTourer - 2024 - Hvit - 136 hk - Flerbruksbil | FINN.no,NA,NA,Fritatt (avgifter),136 hk,5 km,75 kWh,NA,Automat,1 000 kg,2 086 kg,5,603 L,Norge,NA,NA,Bruktbil til salgs,2086,603,NA,NA,75,0,20003,20045,SpaceTourer,M/L2,high,719900,MAX L2 75 kWh,citroen_2026_pdf,21350,0,741250,361350,0.4874873524451939,MAX L2 75 kWh; seter +21350 kr; øvrige opsjoner +0 kr,https://www.citroen.no/content/dam/citroen/norway/prislister-og-brosjyrer/personbiler/Kundeprisliste_e-Spacetourer_2026.pdf,Kundeprisliste gjeldende fra 01.01.2026. PLUS/MAX L2/L3.,2,1.791759469228055,75,TRUE,339227.61662979395,22122.38337020605,0.5994103904981609,65782.2902788204,0.06213302425303698,0.5391355543367105,339227.61662979395,402022.38337020605,22122.38337020605,-22122.38337020605,0.02984469931899636,0.5313407007213163,0.06213302425303698,0.5994103904981609,9
459852675,Toyota Proace Verso,Toyota Proace Verso,Electric 8-Seter ACC/Oppv.ratt/Navi/Kam/Dab+,Electric 8-Seter ACC/Oppv.ratt/Navi/Kam/Dab+,549000,2024,3500,8,Toyota Proace Verso Electric,Ukjent,high,El,Forhjulsdrift,NA,340,136,1000,NA,Personbil,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,06.06.2024,Nybilgaranti fra 1. gang reg.,60,100000,Grå,Fredrikstad,NA,Ukjent,59.240033,10.982871,Dahles Auto Råbekken,"14. april 2026, 08:59 Referanse 2961 Del annonsen Rapporter annonse",TRUE,FALSE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_459852675.html,https://www.finn.no/mobility/item/459852675,Toyota Proace Verso Electric,1,6,Toyota,Proace Verso,549000,Bruktbil til salgs: Toyota Proace Verso - 2024 - Grå - 136 hk | FINN.no,NA,NA,Fritatt (avgifter),136 hk,3 500 km,NA,NA,Automat,1 000 kg,2 136 kg,5,NA,Norge,NA,EP67023,Bruktbil til salgs,2136,NA,NA,NA,NA,500,20002,20024,Proace Verso,M/L2,high,698400,Family Plus,toyota_config_2026,0,0,698400,149400,0.21391752577319587,Family Plus; seter +0 kr; øvrige opsjoner +0 kr,https://www.toyota.no/nybil/proace-verso/build,Toyota-konfigurator lest 2026-05-14. Shuttle Nordic V2 og Family Plus.,2,8.160803920954665,75,TRUE,128887.78027424315,20512.219725756848,0.133622280050036,66014.98817393678,0.0025457948626724353,0.3399185938504095,128887.78027424315,569512.2197257569,20512.219725756848,-20512.219725756906,0.029370303158300182,0.33382316664057776,0.0025457948626724353,0.133622280050036,10
